[2024-04-09 16:17:30] [INFO] 	 Logging initialized!
[2024-04-09 16:17:30] [INFO] 	 GLFW initialized!
[2024-04-09 16:17:30] [DEBUG] 	 Monitor pos: 1920, 0
[2024-04-09 16:17:30] [INFO] 	 V-Sync: 1
[2024-04-09 16:17:30] [INFO] 	 Window initialized!
[2024-04-09 16:17:30] [INFO] 	 OpenGL initialized!
[2024-04-09 16:17:31] [DEBUG] 	 Registering uniform location of "u_Sampler"
[2024-04-09 16:17:31] [DEBUG] 	 Registering uniform location of "u_ProjMat"
[2024-04-09 16:17:31] [DEBUG] 	 Registering uniform location of "u_ViewMat"
[2024-04-09 16:17:31] [INFO] 	 MonkeNgine running...
[2024-04-09 16:17:31] [DEBUG] 	 Creating entity (org.monkeg.api.entity.Sprite)
[2024-04-09 16:17:31] [DEBUG] 	 Constructing texture:
[2024-04-09 16:17:31] [DEBUG] 	 Loading image data from "src/main/resources/textures/start_button.png"...
[2024-04-09 16:17:31] [DEBUG] 	 Texture data: 378w * 120h pixels, 3 channels
[2024-04-09 16:17:31] [DEBUG] 	 Creating OpenGL texture...
[2024-04-09 16:17:31] [DEBUG] 	 Creating entity (org.monkeg.api.entity.Sprite)
[2024-04-09 16:17:31] [DEBUG] 	 Constructing texture:
[2024-04-09 16:17:31] [DEBUG] 	 Loading image data from "src/main/resources/textures/end_button.png"...
[2024-04-09 16:17:31] [DEBUG] 	 Texture data: 378w * 120h pixels, 3 channels
[2024-04-09 16:17:31] [DEBUG] 	 Creating OpenGL texture...
[2024-04-09 16:17:31] [DEBUG] 	 Registering uniform location of "u_ModelMat"
[2024-04-09 16:17:32] [INFO] 	 starting game
[2024-04-09 16:17:32] [DEBUG] 	 Creating entity (org.monkeg.api.entity.Sprite)
[2024-04-09 16:17:32] [DEBUG] 	 Constructing texture:
[2024-04-09 16:17:32] [DEBUG] 	 Loading image data from "src/main/resources/textures/red_tile.png"...
[2024-04-09 16:17:32] [DEBUG] 	 Texture data: 128w * 128h pixels, 3 channels
[2024-04-09 16:17:32] [DEBUG] 	 Creating OpenGL texture...
[2024-04-09 16:17:32] [DEBUG] 	 Creating entity (org.monkeg.api.entity.Sprite)
[2024-04-09 16:17:32] [DEBUG] 	 Constructing texture:
[2024-04-09 16:17:32] [DEBUG] 	 Loading image data from "src/main/resources/textures/red_tile.png"...
[2024-04-09 16:17:32] [DEBUG] 	 Texture data: 128w * 128h pixels, 3 channels
[2024-04-09 16:17:32] [DEBUG] 	 Creating OpenGL texture...
[2024-04-09 16:17:32] [DEBUG] 	 Creating entity (org.monkeg.api.entity.Sprite)
[2024-04-09 16:17:32] [DEBUG] 	 Constructing texture:
[2024-04-09 16:17:32] [DEBUG] 	 Loading image data from "src/main/resources/textures/red_tile.png"...
[2024-04-09 16:17:32] [DEBUG] 	 Texture data: 128w * 128h pixels, 3 channels
[2024-04-09 16:17:32] [DEBUG] 	 Creating OpenGL texture...
[2024-04-09 16:17:32] [DEBUG] 	 Creating entity (org.monkeg.api.entity.Sprite)
[2024-04-09 16:17:32] [DEBUG] 	 Constructing texture:
[2024-04-09 16:17:32] [DEBUG] 	 Loading image data from "src/main/resources/textures/red_tile.png"...
[2024-04-09 16:17:32] [DEBUG] 	 Texture data: 128w * 128h pixels, 3 channels
[2024-04-09 16:17:32] [DEBUG] 	 Creating OpenGL texture...
[2024-04-09 16:17:32] [DEBUG] 	 Deleting entity (org.monkeg.api.entity.Sprite)
[2024-04-09 16:17:32] [DEBUG] 	 Freeing resources from entity (org.monkeg.api.entity.Sprite)
[2024-04-09 16:17:32] [DEBUG] 	 Deleting texture: 1
[2024-04-09 16:17:32] [DEBUG] 	 Deleting entity (org.monkeg.api.entity.Sprite)
[2024-04-09 16:17:32] [DEBUG] 	 Freeing resources from entity (org.monkeg.api.entity.Sprite)
[2024-04-09 16:17:32] [DEBUG] 	 Deleting texture: 2
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:32] [DEBUG] 	 Registering uniform location of "u_ProjMat"
[2024-04-09 16:17:32] [DEBUG] 	 Registering uniform location of "u_ViewMat"
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:32] [DEBUG] 	 Drawing 4 circles
[2024-04-09 16:17:33] [DEBUG] 	 Drawing 4 circles
